"","id","site","location","latitude","longitude","depth","temperature","total_length","total_weight","age","logTL","logDepth","logAge","logTW"
"1","001-Po-16/05/10","PuertoAventuras","Paraiso",20.48361111,-87.22611111,38.1,28,213,112.7,0.914018088650051,5.36129216570943,3.64021428213266,-0.0899049170782493,4.72472942104573
"2","002-Po-29/05/10","PuertoAventuras","Paraiso",20.48361111,-87.22611111,27.9,28,124,27.6,0.507608246537902,4.82028156560504,3.32862668882732,-0.678045297139313,3.3178157727231
"3","003-Pd-29/05/10","PuertoAventuras","Pared",20.50166667,-87.21166667,18.5,28,166,52.3,0.681500504839633,5.11198778835654,2.91777073208428,-0.383458287068666,3.95699637107088
"4","004-Cs-12/06/10","PuertoAventuras","Canones",20.47694444,-87.23277778,15.5,28,203,123.1,0.860406088337448,5.31320597904179,2.7408400239252,-0.150350805442691,4.81299703319041
"5","005-Cs-12/06/10","PuertoAventuras","Canones",20.47694444,-87.23277778,15,28,212,129,0.908541626791018,5.35658627467201,2.70805020110221,-0.0959145729429469,4.85981240436167
"6","006-Pl-21/06/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,22.7,29,210,138.75,0.897667250636301,5.34710753071747,3.12236492448736,-0.10795582429712,4.93267375262654
"7","007-Pl-21/06/10","PuertoAventuras","Paamul",20.51277778,-87.19194444,13.4,29,132,50.29,0.538743444478941,4.88280192258637,2.59525470695687,-0.618515805658738,3.91780625018387
"8","008-Po-04/07/10","PuertoAventuras","Paraiso",20.48361111,-87.22611111,18.5,29,122,17.2,0.49995593724092,4.80402104473326,2.91777073208428,-0.693235309961387,2.84490938381941
"9","009-Po-04/07/10","PuertoAventuras","Paraiso",20.48361111,-87.22611111,18.2,29,224,112.7,0.976068240962383,5.41164605185504,2.90142159408275,-0.0242227759944306,4.72472942104573
"10","010-Pd-08/07/10","PuertoAventuras","Pared",20.50166667,-87.21166667,12.5,29,117,19.6,0.48104762019096,4.76217393479776,2.52572864430826,-0.731789011300789,2.97552956623647
"11","011-Pd-09/07/10","PuertoAventuras","Pared",20.50166667,-87.21166667,20.1,28,211,130.1,0.903091431037049,5.35185813347607,3.00071981506503,-0.10193147815812,4.86830338551846
"12","012-Pd-09/07/10","PuertoAventuras","Pared",20.50166667,-87.21166667,18.2,28,105,11.4,0.436911445967933,4.65396035015752,2.90142159408275,-0.828024745226615,2.43361335540045
"13","013-Pd-09/07/10","PuertoAventuras","Pared",20.50166667,-87.21166667,18.1,28,82,5.6,0.356828199766358,4.40671924726425,2.89591193827178,-1.03050084617979,1.7227665977411
"14","014-Is-09/07/10","PuertoAventuras","Islas",20.49,-87.22805556,14,28,63,2.3,0.294680601702017,4.14313472639153,2.63905732961526,-1.22186321528683,0.832909122935104
"15","015-Is-09/07/10","PuertoAventuras","Islas",20.49,-87.22805556,14.7,28,50,0.9,0.254036029135391,3.91202300542815,2.68784749378469,-1.37027917503321,-0.105360515657826
"16","016-Po-11/07/10","PuertoAventuras","Paraiso",20.48361111,-87.22611111,19.9,28,60,1.7,0.28517122707643,4.0943445622221,2.99071973173045,-1.2546654823602,0.53062825106217
